ID,name,tactics
T1615,Group Policy Discovery,Discovery
T1200,Hardware Additions,Initial Access
T1564,Hide Artifacts,Defense Evasion
T1564.008,Hide Artifacts: Email Hiding Rules,Defense Evasion
T1564.005,Hide Artifacts: Hidden File System,Defense Evasion
T1564.001,Hide Artifacts: Hidden Files and Directories,Defense Evasion
T1564.002,Hide Artifacts: Hidden Users,Defense Evasion
T1564.003,Hide Artifacts: Hidden Window,Defense Evasion
T1564.004,Hide Artifacts: NTFS File Attributes,Defense Evasion
T1564.010,Hide Artifacts: Process Argument Spoofing,Defense Evasion
T1564.009,Hide Artifacts: Resource Forking,Defense Evasion
T1564.006,Hide Artifacts: Run Virtual Instance,Defense Evasion
T1564.007,Hide Artifacts: VBA Stomping,Defense Evasion
T1574,Hijack Execution Flow,"Defense Evasion, Persistence, Privilege Escalation"
T1574.012,Hijack Execution Flow: COR_PROFILER,"Defense Evasion, Persistence, Privilege Escalation"
T1574.001,Hijack Execution Flow: DLL Search Order Hijacking,"Defense Evasion, Persistence, Privilege Escalation"
T1574.002,Hijack Execution Flow: DLL Side-Loading,"Defense Evasion, Persistence, Privilege Escalation"
T1574.004,Hijack Execution Flow: Dylib Hijacking,"Defense Evasion, Persistence, Privilege Escalation"
T1574.006,Hijack Execution Flow: Dynamic Linker Hijacking,"Defense Evasion, Persistence, Privilege Escalation"
T1574.005,Hijack Execution Flow: Executable Installer File Permissions Weakness,"Defense Evasion, Persistence, Privilege Escalation"
T1574.013,Hijack Execution Flow: KernelCallbackTable,"Defense Evasion, Persistence, Privilege Escalation"
T1574.007,Hijack Execution Flow: Path Interception by PATH Environment Variable,"Defense Evasion, Persistence, Privilege Escalation"
T1574.008,Hijack Execution Flow: Path Interception by Search Order Hijacking,"Defense Evasion, Persistence, Privilege Escalation"
T1574.009,Hijack Execution Flow: Path Interception by Unquoted Path,"Defense Evasion, Persistence, Privilege Escalation"
T1574.010,Hijack Execution Flow: Services File Permissions Weakness,"Defense Evasion, Persistence, Privilege Escalation"
T1574.011,Hijack Execution Flow: Services Registry Permissions Weakness,"Defense Evasion, Persistence, Privilege Escalation"
T1562,Impair Defenses,Defense Evasion
T1562.008,Impair Defenses: Disable Cloud Logs,Defense Evasion
T1562.002,Impair Defenses: Disable Windows Event Logging,Defense Evasion
T1562.007,Impair Defenses: Disable or Modify Cloud Firewall,Defense Evasion
T1562.004,Impair Defenses: Disable or Modify System Firewall,Defense Evasion
T1562.001,Impair Defenses: Disable or Modify Tools,Defense Evasion
T1562.010,Impair Defenses: Downgrade Attack,Defense Evasion
T1562.003,Impair Defenses: Impair Command History Logging,Defense Evasion
T1562.006,Impair Defenses: Indicator Blocking,Defense Evasion
T1562.009,Impair Defenses: Safe Mode Boot,Defense Evasion
T1562.011,Impair Defenses: Spoof Security Alerting,Defense Evasion
T1525,Implant Internal Image,Persistence
T1070,Indicator Removal,Defense Evasion
T1070.003,Indicator Removal: Clear Command History,Defense Evasion
T1070.002,Indicator Removal: Clear Linux or Mac System Logs,Defense Evasion
T1070.008,Indicator Removal: Clear Mailbox Data,Defense Evasion
T1070.007,Indicator Removal: Clear Network Connection History and Configurations,Defense Evasion
T1070.009,Indicator Removal: Clear Persistence,Defense Evasion
T1070.001,Indicator Removal: Clear Windows Event Logs,Defense Evasion
T1070.004,Indicator Removal: File Deletion,Defense Evasion
T1070.005,Indicator Removal: Network Share Connection Removal,Defense Evasion
T1070.006,Indicator Removal: Timestomp,Defense Evasion
T1202,Indirect Command Execution,Defense Evasion
T1105,Ingress Tool Transfer,Command and Control
T1490,Inhibit System Recovery,Impact
T1056,Input Capture,"Collection, Credential Access"
T1056.004,Input Capture: Credential API Hooking,"Collection, Credential Access"
T1056.002,Input Capture: GUI Input Capture,"Collection, Credential Access"
T1056.001,Input Capture: Keylogging,"Collection, Credential Access"
T1056.003,Input Capture: Web Portal Capture,"Collection, Credential Access"
T1559,Inter-Process Communication,Execution
T1559.001,Inter-Process Communication: Component Object Model,Execution
T1559.002,Inter-Process Communication: Dynamic Data Exchange,Execution
T1559.003,Inter-Process Communication: XPC Services,Execution
T1534,Internal Spearphishing,Lateral Movement
T1570,Lateral Tool Transfer,Lateral Movement
T1036,Masquerading,Defense Evasion
T1036.007,Masquerading: Double File Extension,Defense Evasion
T1036.001,Masquerading: Invalid Code Signature,Defense Evasion
T1036.008,Masquerading: Masquerade File Type,Defense Evasion
T1036.004,Masquerading: Masquerade Task or Service,Defense Evasion
T1036.005,Masquerading: Match Legitimate Name or Location,Defense Evasion
T1036.003,Masquerading: Rename System Utilities,Defense Evasion
T1036.002,Masquerading: Right-to-Left Override,Defense Evasion
T1036.006,Masquerading: Space after Filename,Defense Evasion
T1556,Modify Authentication Process,"Credential Access, Defense Evasion, Persistence"
T1556.001,Modify Authentication Process: Domain Controller Authentication,"Credential Access, Defense Evasion, Persistence"
T1556.007,Modify Authentication Process: Hybrid Identity,"Credential Access, Defense Evasion, Persistence"
T1556.006,Modify Authentication Process: Multi-Factor Authentication,"Credential Access, Defense Evasion, Persistence"
T1556.004,Modify Authentication Process: Network Device Authentication,"Credential Access, Defense Evasion, Persistence"
T1556.008,Modify Authentication Process: Network Provider DLL,"Credential Access, Defense Evasion, Persistence"
T1556.002,Modify Authentication Process: Password Filter DLL,"Credential Access, Defense Evasion, Persistence"
T1556.003,Modify Authentication Process: Pluggable Authentication Modules,"Credential Access, Defense Evasion, Persistence"
T1556.005,Modify Authentication Process: Reversible Encryption,"Credential Access, Defense Evasion, Persistence"
T1578,Modify Cloud Compute Infrastructure,Defense Evasion
T1578.002,Modify Cloud Compute Infrastructure: Create Cloud Instance,Defense Evasion
T1578.001,Modify Cloud Compute Infrastructure: Create Snapshot,Defense Evasion
T1578.003,Modify Cloud Compute Infrastructure: Delete Cloud Instance,Defense Evasion
T1578.004,Modify Cloud Compute Infrastructure: Revert Cloud Instance,Defense Evasion
T1112,Modify Registry,Defense Evasion
T1601,Modify System Image,Defense Evasion
T1601.002,Modify System Image: Downgrade System Image,Defense Evasion
T1601.001,Modify System Image: Patch System Image,Defense Evasion
T1111,Multi-Factor Authentication Interception,Credential Access
T1621,Multi-Factor Authentication Request Generation,Credential Access
T1104,Multi-Stage Channels,Command and Control
T1106,Native API,Execution
T1599,Network Boundary Bridging,Defense Evasion
T1599.001,Network Boundary Bridging: Network Address Translation Traversal,Defense Evasion
T1498,Network Denial of Service,Impact
T1498.001,Network Denial of Service: Direct Network Flood,Impact
T1498.002,Network Denial of Service: Reflection Amplification,Impact
T1046,Network Service Discovery,Discovery
T1135,Network Share Discovery,Discovery
T1040,Network Sniffing,"Credential Access, Discovery"
T1095,Non-Application Layer Protocol,Command and Control
T1571,Non-Standard Port,Command and Control
T1003,OS Credential Dumping,Credential Access
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,Credential Access
T1003.005,OS Credential Dumping: Cached Domain Credentials,Credential Access
T1003.006,OS Credential Dumping: DCSync,Credential Access
T1003.004,OS Credential Dumping: LSA Secrets,Credential Access
T1003.001,OS Credential Dumping: LSASS Memory,Credential Access
T1003.003,OS Credential Dumping: NTDS,Credential Access
T1003.007,OS Credential Dumping: Proc Filesystem,Credential Access
T1003.002,OS Credential Dumping: Security Account Manager,Credential Access
T1027,Obfuscated Files or Information,Defense Evasion
T1027.001,Obfuscated Files or Information: Binary Padding,Defense Evasion
T1027.010,Obfuscated Files or Information: Command Obfuscation,Defense Evasion
T1027.004,Obfuscated Files or Information: Compile After Delivery,Defense Evasion
T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Defense Evasion
T1027.009,Obfuscated Files or Information: Embedded Payloads,Defense Evasion
T1027.011,Obfuscated Files or Information: Fileless Storage,Defense Evasion
T1027.006,Obfuscated Files or Information: HTML Smuggling,Defense Evasion
T1027.005,Obfuscated Files or Information: Indicator Removal from Tools,Defense Evasion
T1027.002,Obfuscated Files or Information: Software Packing,Defense Evasion
T1027.003,Obfuscated Files or Information: Steganography,Defense Evasion
T1027.008,Obfuscated Files or Information: Stripped Payloads,Defense Evasion
T1588,Obtain Capabilities,Resource Development
T1588.003,Obtain Capabilities: Code Signing Certificates,Resource Development
T1588.004,Obtain Capabilities: Digital Certificates,Resource Development
T1588.005,Obtain Capabilities: Exploits,Resource Development
T1588.001,Obtain Capabilities: Malware,Resource Development
T1588.002,Obtain Capabilities: Tool,Resource Development
T1588.006,Obtain Capabilities: Vulnerabilities,Resource Development
T1137,Office Application Startup,Persistence
T1137.006,Office Application Startup: Add-ins,Persistence
T1137.001,Office Application Startup: Office Template Macros,Persistence
T1137.002,Office Application Startup: Office Test,Persistence
T1137.003,Office Application Startup: Outlook Forms,Persistence
T1137.004,Office Application Startup: Outlook Home Page,Persistence
T1137.005,Office Application Startup: Outlook Rules,Persistence
T1201,Password Policy Discovery,Discovery
T1120,Peripheral Device Discovery,Discovery
T1069,Permission Groups Discovery,Discovery
T1069.003,Permission Groups Discovery: Cloud Groups,Discovery
T1069.002,Permission Groups Discovery: Domain Groups,Discovery
T1069.001,Permission Groups Discovery: Local Groups,Discovery
T1566,Phishing,Initial Access
T1598,Phishing for Information,Reconnaissance
T1598.002,Phishing for Information: Spearphishing Attachment,Reconnaissance
T1598.003,Phishing for Information: Spearphishing Link,Reconnaissance
T1598.001,Phishing for Information: Spearphishing Service,Reconnaissance
T1566.001,Phishing: Spearphishing Attachment,Initial Access
T1566.002,Phishing: Spearphishing Link,Initial Access
T1566.003,Phishing: Spearphishing via Service,Initial Access
T1647,Plist File Modification,Defense Evasion
T1542,Pre-OS Boot,"Defense Evasion, Persistence"
T1542.003,Pre-OS Boot: Bootkit,"Defense Evasion, Persistence"
T1542.002,Pre-OS Boot: Component Firmware,"Defense Evasion, Persistence"
T1542.004,Pre-OS Boot: ROMMONkit,"Defense Evasion, Persistence"
T1542.001,Pre-OS Boot: System Firmware,"Defense Evasion, Persistence"
T1542.005,Pre-OS Boot: TFTP Boot,"Defense Evasion, Persistence"
T1057,Process Discovery,Discovery
T1055,Process Injection,"Defense Evasion, Privilege Escalation"
T1055.004,Process Injection: Asynchronous Procedure Call,"Defense Evasion, Privilege Escalation"
T1055.001,Process Injection: Dynamic-link Library Injection,"Defense Evasion, Privilege Escalation"
T1055.011,Process Injection: Extra Window Memory Injection,"Defense Evasion, Privilege Escalation"
T1055.015,Process Injection: ListPlanting,"Defense Evasion, Privilege Escalation"
T1055.002,Process Injection: Portable Executable Injection,"Defense Evasion, Privilege Escalation"
T1055.009,Process Injection: Proc Memory,"Defense Evasion, Privilege Escalation"
T1055.013,Process Injection: Process Doppelgänging,"Defense Evasion, Privilege Escalation"
T1055.012,Process Injection: Process Hollowing,"Defense Evasion, Privilege Escalation"
T1055.008,Process Injection: Ptrace System Calls,"Defense Evasion, Privilege Escalation"
T1055.003,Process Injection: Thread Execution Hijacking,"Defense Evasion, Privilege Escalation"
T1055.005,Process Injection: Thread Local Storage,"Defense Evasion, Privilege Escalation"
T1055.014,Process Injection: VDSO Hijacking,"Defense Evasion, Privilege Escalation"
T1572,Protocol Tunneling,Command and Control
T1090,Proxy,Command and Control
T1090.004,Proxy: Domain Fronting,Command and Control
T1090.002,Proxy: External Proxy,Command and Control
T1090.001,Proxy: Internal Proxy,Command and Control
T1090.003,Proxy: Multi-hop Proxy,Command and Control
T1012,Query Registry,Discovery
T1620,Reflective Code Loading,Defense Evasion
T1219,Remote Access Software,Command and Control
T1563,Remote Service Session Hijacking,Lateral Movement
